B01001_001E,B19013_001E,NAME,state,county
805,68750,"Roberts County, Texas",48,393
26920,41679,"Uvalde County, Texas",48,463
93373,50164,"Bowie County, Texas",48,037
647,44688,"Kent County, Texas",48,263
8860,60632,"Somervell County, Texas",48,425
56765,60339,"Hardin County, Texas",48,199
17225,43045,"Leon County, Texas",48,289
13914,40101,"Newton County, Texas",48,351
15492,53311,"Reeves County, Texas",48,389
1226805,75887,"Travis County, Texas",48,453
2969,39120,"Collingsworth County, Texas",48,087
41841,52742,"Erath County, Texas",48,143
1252,43859,"Motley County, Texas",48,345
8334,46743,"Coleman County, Texas",48,083
50057,62599,"Medina County, Texas",48,325
81070,47355,"Henderson County, Texas",48,213
49611,45117,"Lamar County, Texas",48,277
4373,43328,"Kimble County, Texas",48,267
35163,54971,"Washington County, Texas",48,477
9364,46232,"Stephens County, Texas",48,429
18036,76158,"Andrews County, Texas",48,003
20731,53577,"Gonzales County, Texas",48,177
5830,43382,"Lynn County, Texas",48,305
14304,33952,"Zapata County, Texas",48,505
58318,64041,"Hood County, Texas",48,221
237,52083,"King County, Texas",48,269
52118,48186,"Cherokee County, Texas",48,073
5249,51038,"Delta County, Texas",48,119
19943,50344,"Jones County, Texas",48,253
116566,66550,"Windham County, Connecticut",09,015
267390,73490,"New London County, Connecticut",09,011
163053,85898,"Middlesex County, Connecticut",09,007
151063,87069,"Tolland County, Connecticut",09,013
943926,95645,"Fairfield County, Connecticut",09,001
24764,37022,"Washington County, Florida",12,133
936186,55807,"Duval County, Florida",12,031
27317,45921,"Bradford County, Florida",12,007
585507,56775,"Brevard County, Florida",12,009
211405,65740,"Clay County, Florida",12,019
8637,50165,"Lafayette County, Florida",12,067
345867,54513,"Lake County, Florida",12,069
83098,69943,"Nassau County, Florida",12,089
964666,54090,"Pinellas County, Florida",12,103
686218,50584,"Polk County, Florida",12,105
312947,52322,"St. Lucie County, Florida",12,111
13516,40977,"Glades County, Florida",12,043
40732,40820,"Hendry County, Florida",12,051
153989,54740,"Indian River County, Florida",12,061
47945,39872,"Jackson County, Florida",12,063
244674,82252,"St. Johns County, Florida",12,109
461402,66768,"Seminole County, Florida",12,117
182161,54316,"Bay County, Florida",12,005
109801,54514,"Flagler County, Florida",12,035
15576,47712,"Gulf County, Florida",12,045
8345,38015,"Liberty County, Florida",12,077
351955,52279,"Osceola County, Florida",12,097
68262,58093,"Walton County, Florida",12,131
45945,41401,"Gadsden County, Florida",12,039
14161,47240,"Jefferson County, Florida",12,065
353526,45371,"Marion County, Florida",12,083
27131,38682,"Hardee County, Florida",12,049
41144,41760,"Okeechobee County, Florida",12,093
1349746,58254,"Orange County, Florida",12,095
17953,43640,"Gilchrist County, Florida",12,041
44046,47839,"Suwannee County, Florida",12,121
265443,49689,"Alachua County, Florida",12,001
14362,38568,"Calhoun County, Florida",12,013
181067,51499,"Charlotte County, Florida",12,015
16589,39828,"Dixie County, Florida",12,029
159065,61133,"Martin County, Florida",12,085
419496,62236,"Sarasota County, Florida",12,115
384213,59009,"Manatee County, Florida",12,081
145169,44237,"Citrus County, Florida",12,017
28211,63275,"Baker County, Florida",12,003
174755,67949,"Santa Rosa County, Florida",12,113
289770,53106,"Leon County, Florida",12,073
1926205,59547,"Broward County, Florida",12,011
75798,70033,"Monroe County, Florida",12,087
186313,48812,"Hernando County, Florida",12,053
1422278,58884,"Hillsborough County, Florida",12,057
21870,40306,"Taylor County, Florida",12,123
32321,61410,"Wakulla County, Florida",12,129
21455,43468,"McDuffie County, Georgia",13,189
18507,66178,"Morgan County, Georgia",13,211
11736,51358,"Heard County, Georgia",13,149
89703,39584,"Dougherty County, Georgia",13,095
25395,47997,"Fannin County, Georgia",13,111
153507,61723,"Houston County, Georgia",13,153
47405,39120,"Laurens County, Georgia",13,175
65306,47111,"Spalding County, Georgia",13,255
16035,32405,"Telfair County, Georgia",13,271
8237,60553,"Warren County, Indiana",18,171
15539,50243,"Vermillion County, Indiana",18,165
28011,59237,"Wells County, Indiana",18,179
372575,54857,"Allen County, Indiana",18,003
26562,57949,"Decatur County, Indiana",18,031
115020,43512,"Delaware County, Indiana",18,035
77320,64468,"Floyd County, Indiana",18,043
32201,52718,"Jefferson County, Indiana",18,077
27710,54191,"Jennings County, Indiana",18,079
153716,72440,"Johnson County, Indiana",18,081
35815,50657,"Miami County, Indiana",18,103
69922,64335,"Morgan County, Indiana",18,109
33656,55462,"Gibson County, Indiana",18,051
13992,55356,"Newton County, Indiana",18,111
19545,47917,"Orange County, Indiana",18,117
270216,52769,"St. Joseph County, Indiana",18,141
79035,61366,"Kosciusko County, Indiana",18,085
46461,52658,"Marshall County, Indiana",18,099
10685,49383,"Switzerland County, Indiana",18,155
181291,49708,"Vanderburgh County, Indiana",18,163
12013,43505,"Blackford County, Indiana",18,009
23759,48700,"Scott County, Indiana",18,143
146461,49839,"Monroe County, Indiana",18,105
